date,PV-0.pv_0-pv_gen
2012-01-01,0.5937418410394248
2012-01-01 00:15:00,0.013596064497162596
2012-01-01 00:30:00,0.013596064489167657
2012-01-01 00:45:00,0.013596064485230553
2012-01-01 01:00:00,0.013818950801234207
2012-01-01 01:15:00,0.013818950805301456
2012-01-01 01:30:00,0.33814864423462415
2012-01-01 01:45:00,1.3184185163346938
2012-01-01 02:00:00,0.5392546530840049
2012-01-01 02:15:00,0.01359606454121863
2012-01-01 02:30:00,0.5346639389004513
2012-01-01 02:45:00,0.5510573402671106
2012-01-01 03:00:00,0.01337317830007359
2012-01-01 03:15:00,1.2444530314626878
2012-01-01 03:30:00,0.013373178373529625
2012-01-01 03:45:00,1.2561132150163705
2012-01-01 04:00:00,0.013150292142624753
2012-01-01 04:15:00,1.1703719177895329
2012-01-01 04:30:00,0.013150292259366715
2012-01-01 04:45:00,1.2061217225827063
2012-01-01 05:00:00,0.01292740608045446
2012-01-01 05:15:00,0.8655457004691437
2012-01-01 05:30:00,0.012927406277146987
2012-01-01 05:45:00,0.012704520057046675
2012-01-01 06:00:00,0.3561937436262248
2012-01-01 06:15:00,0.012704520370170932
2012-01-01 06:30:00,0.9358978004568603
2012-01-01 06:45:00,0.012481634464114964
2012-01-01 07:00:00,1.1951030437360453
2012-01-01 07:15:00,0.012481635217016718
2012-01-01 07:30:00,0.9053607125568963
2012-01-01 07:45:00,0.012481636647812037
2012-01-01 08:00:00,0.21252325121868634
2012-01-01 08:15:00,0.012481640399490462
2012-01-01 08:30:00,0.012481646216552829
2012-01-01 08:45:00,0.012481675689668804
2012-01-01 09:00:00,0.012481588821537493
2012-01-01 09:15:00,5.770289824952663
2012-01-01 09:30:00,9.888607066211877
2012-01-01 09:45:00,12.539455358236426
2012-01-01 10:00:00,12.504390129627765
2012-01-01 10:15:00,16.373664807635386
2012-01-01 10:30:00,25.855988733663683
2012-01-01 10:45:00,25.20405752792066
2012-01-01 11:00:00,34.65174197274237
2012-01-01 11:15:00,33.91412607031234
2012-01-01 11:30:00,40.79974982479752
2012-01-01 11:45:00,38.81704565486724
2012-01-01 12:00:00,31.500286666708792
2012-01-01 12:15:00,43.516834828243844
2012-01-01 12:30:00,37.97246361060366
2012-01-01 12:45:00,39.787615472255276
2012-01-01 13:00:00,42.77475731467124
2012-01-01 13:15:00,46.4385768700292
2012-01-01 13:30:00,41.461692803734245
2012-01-01 13:45:00,31.94609908725325
2012-01-01 14:00:00,37.53854613711692
2012-01-01 14:15:00,42.5798302584051
2012-01-01 14:30:00,38.6537256300891
2012-01-01 14:45:00,22.382946487550665
2012-01-01 15:00:00,15.749916415436893
2012-01-01 15:15:00,10.780960749961691
2012-01-01 15:30:00,18.225743660227693
2012-01-01 15:45:00,24.031487564180804
2012-01-01 16:00:00,18.220456575498442
2012-01-01 16:15:00,1.9760162356855895
2012-01-01 16:30:00,0.013373161390117273
2012-01-01 16:45:00,2.1684363727469798
2012-01-01 17:00:00,0.013373233509819036
2012-01-01 17:15:00,1.3786947052818732
2012-01-01 17:30:00,0.013150300358594396
2012-01-01 17:45:00,0.013150297602727123
2012-01-01 18:00:00,1.0716602490191502
2012-01-01 18:15:00,0.012927408683197979
2012-01-01 18:30:00,1.9012918662930876
2012-01-01 18:45:00,0.012704521192889572
2012-01-01 19:00:00,2.1794230358480875
2012-01-01 19:15:00,0.012481634229878864
2012-01-01 19:30:00,2.1795229461189116
2012-01-01 19:45:00,0.012258747517054124
2012-01-01 20:00:00,2.3298782399747737
2012-01-01 20:15:00,0.012035860928436575
2012-01-01 20:30:00,2.2211122644757153
2012-01-01 20:45:00,0.01181297442686728
2012-01-01 21:00:00,0.01181297436010321
2012-01-01 21:15:00,2.019274252424613
2012-01-01 21:30:00,0.011590087928788673
2012-01-01 21:45:00,0.01136720156707619
2012-01-01 22:00:00,0.3704290821502926
2012-01-01 22:15:00,1.3706853092403284
2012-01-01 22:30:00,1.5731498955690493
2012-01-01 22:45:00,1.6098398102489777
2012-01-01 23:00:00,1.4981965954284318
2012-01-01 23:15:00,1.2267160443998442
2012-01-01 23:30:00,0.4585352677009826
2012-01-01 23:45:00,0.010475656127875085
